X,Y,TYPE,NAME,ONEWAY,LANES
-17.4923986,14.72778355,tertiary,,,
-17.49363013539,14.7234580984933,secondary,,yes,
-17.4934914,14.73246235,residential,,,
-17.4937172174232,14.723583018097,secondary,,yes,
-17.4921861,14.7535315,tertiary,,,
-17.4815188,14.7109365,secondary,Avenue Cheick Anta Diop,,
-17.4918435,14.7309493,residential,,,
-17.49309515,14.7187343,residential,,,
-17.4927424504911,14.7314103975142,residential,,,
-17.49165335,14.7318461,residential,,,
-17.492038,14.7300432,residential,,,
-17.4918651840767,14.7468812312309,unclassified,,,
-17.492494059694,14.7192054501218,residential,,yes,
-17.4924902950412,14.719082955878,residential,,yes,
-17.4924689897582,14.7192721546113,primary,,yes,
-17.4919710472524,14.7180768784865,primary,Route de la Corniche Ouest,yes,2
-17.4921811175587,14.7194184701425,unclassified,,yes,
-17.4919026984461,14.7180768384824,primary,Route de la Corniche Ouest,yes,2
-17.49216845,14.71940165,unclassified,,yes,
-17.4918775152436,14.7197200738958,unclassified,,,
-17.4919949355507,14.7173022643765,secondary,,yes,
-17.4920157896419,14.717249330367,secondary,,yes,
-17.4919325984238,14.7173520872263,primary,,yes,
-17.4902369809062,14.7169846934066,primary,Route de la Corniche Ouest,yes,2
-17.490526678818,14.7171429440771,primary,Route de la Corniche Ouest,yes,2
-17.49065665,14.72969895,residential,,,
-17.49052165,14.73031695,residential,,,
-17.4907976,14.74832875,primary_link,,yes,
-17.49008625,14.7306493,residential,,,
-17.49071715,14.74819495,primary_link,,yes,
-17.48998095,14.731109,residential,,,
-17.4904330308771,14.753428208933,residential,,,
-17.4868924758176,14.7574703654323,residential,,,
-17.4892462000068,14.7306726999723,residential,,,
-17.4901323121155,14.7482349241312,primary_link,,no,
-17.4903350742712,14.7471031862371,unclassified,,yes,
-17.4902731262073,14.7470061901233,unclassified,,yes,
-17.49032155,14.74734355,primary,,yes,
-17.4902866,14.7473591,primary,,yes,
-17.4901526993948,14.7298938026938,residential,,,
-17.4900382702843,14.7471317373179,trunk,,yes,
-17.4900706399958,14.7469249455906,unclassified,,yes,
-17.4873079943072,14.7531216636416,trunk,Route de l'Aéroport,yes,2
-17.4891869409092,14.7164372883821,unclassified,,no,
-17.4900458995509,14.747023048408,unclassified,,yes,
-17.4872410428672,14.7529959164774,trunk,Route de l'Aéroport,yes,2
-17.4897951,14.7464705,unclassified,,,
-17.4899003305396,14.7483957204344,primary_link,,yes,
-17.4897472266085,14.7483459623286,primary_link,,yes,
-17.4899434796957,14.7473018962507,service,,yes,
-17.4896546491079,14.7168535522271,primary,,yes,
